"ID Księgi"|"Wynik"|"Data przeprowadzenia"
"325416"|"Kontrola PS-ZPSM.9612.28.2015 - pozytywna z nieprawidłowościami."|"2015-05-08"
"325427"|"Kontrola problemowa PS-ZP.9612.117.2013 - pozytywna z nieprawidłowościami"|"2013-09-30"
"325431"|"Kontrola PS-ZP.9612.47.2012: pozytywna"|"2012-07-23"
"325431"|"Kontrola PS-ZP.9612.2.2015- ocena negatywna.Ocena podmiotu leczniczego realizującego ambulatoryjne świadczenia zdrowotne, ze szczególnym uwzględnieniem profilaktycznej opieki nad matką i dzieckiem."|"2015-02-26"
"325434"|"Kontrola PS-ZPSM.9612.16.2015 - pozytywna z nieprawidłowościami."|"2015-07-10"
"325435"|"Kontrola PS-ZP.9612.48.2012: pozytywna"|"2012-07-23"
"325443"|"Kontrola PS-ZP.9612.13.2013 w zakresie realizacji świadczeń zdrowotnych ze szczególnym uwzględnieniem profilaktycznej opieki nad matką i dzieckiem; ocena negatywna"|"2013-02-19"
"325443"|"PS-ZP.9612.87.2014 kontrola w zakresie realizacji świadczeń zdrowotnych, ze szczególnym uwzględnieniem profilaktycznej opieki nad matką i dzieckiem; pozytywna"|"2014-10-29"
"325470"|"Kontrola problemowa: PS-ZP.9612.27.2013 - pozytywna z nieprawidłowościami"|"2013-03-15"
"325482"|"PS-ZP.9612.136.2013     Pozytywna z nieprawidłowościami"|"2013-11-21"
"325515"|"Kontrola problemowa PS-ZP.9612.5.2015/UK - pozytywna z nieprawidłowościami"|"2015-01-29"
"325574"|"Kontrola problemowa PS-ZPSM.9612.48.2015.UK - pozytywna z nieprawidłowościami."|"2015-11-26"
"325576"|"Kontrola PS-ZP.9612.106.2013 z zakresu zgodności wykonywanej działalności leczniczej z przepisami ustawy o działalności leczniczej oraz z przepisami określającymi warunki wykonywania działalności leczniczej; ocena pozytywna z nieprawidłowościami."|"2013-09-09"
"325578"|"Kontrola znak: PS-Z.9612.84.2011 - pozytywna"|"2011-12-16"
"325594"|"Kontrola PS-ZP.9612.24.2013 wynik: pozytywna z nieprawidłowościami."|"2013-03-15"
"325596"|"Kontrola PS-ZP.9612.47.2014 - pozytywna z nieprawidłowościami"|"2014-06-04"
"325614"|"PS-ZP.9612.6.2014 -Pozytywna z nieprawidłowościami "|"2014-02-05"
"325668"|"Kontrola znak: PS-Z.9612.82.2011 - pozytywna z uchybieniami."|"2011-12-16"
"325672"|"Kontrola problemowa:PS-ZP.9612.28.2013 - pozytywna z nieprawidłowościami."|"2013-03-22"
"325676"|"Kontrola problemowa PS-ZP.9612.108.2013 - pozytywna z nieprawidłowościami"|"2013-10-18"
"325704"|"Kontrola PS-ZP.9612.81.2012 w zakresie realizacji świadczeń zdrowotnych ze szczególnym uwzględnieniem profilaktycznej opieki nad matką i dzieckiem; ocena pozytywna z nieprawidłowościami."|"2012-10-04"
"325709"|"PS-ZP.9612.33.2014- pozytywna z nieprawidłowościami."|"2014-04-15"
"325723"|"PS-ZPSM.9612.10.2016- pozytywna z nieprawidłowościami"|"2016-01-27"
"325745"|"Kontrola znak PS-ZPSM.9612.26.2015 - pozytywna z nieprawidłowościami."|"2015-08-21"
"325749"|"Kontrola PS-ZP.9612.113.2013 z zakresu zgodności wykonywanej działalności leczniczej z przepisami ustawy o działalności leczniczej oraz z przepisami określającymi warunki wykonywania działalności leczniczej; ocena pozytywna z nieprawidłowościami."|"2013-09-13"
"325771"|"Kontrola problemowa PS-ZP.9612.86.2014 - pozytywna z nieprawidłowościami"|"2014-10-30"
"325775"|"Kontrola znak: PS-Z.9612.18.2012 - pozytywna."|"2012-02-03"
"325786"|"Kontrola problemowa PS-ZP.9612.97.2013 - pozytywna z nieprawidłowościami"|"2013-07-30"
"325788"|"Kontrola PS-ZP.9612.53.2014 pozytywna z nieprawidłowościami."|"2014-07-08"
"325791"|"Kontrola PS-ZP.9612.47.2012: pozytywna"|"2012-07-23"
"325796"|"Kontrola PS-Z.9612.37.2012; Realizacja świadczeń zdrowotnych, ze szczególnym uwzględnieniem opieki nad matką i dzieckiem w oddziale ginekologiczno - polożniczym i neonatologicznym; ocena pozytywna z nieprawidłowościami."|"2012-04-18"
"325796"|"Kontrola PS-ZP.964.10.2015- ocena pozytywna.Ocena jakości świadczonych usług przez szkoły rodzenia ubiegające się o przyznanie Rekomendacji w zakresie realizacji ""Standardu Edukacja przedporodowa Szkoła Rodzenia"" przyjętego przez Wojewodę Dolnośląskiego."|"2015-06-02"
"325806"|"Kontrola PS-ZPSM.9612.33.2015 - pozytywna z nieprawidłowościami."|"2015-05-25"
"325822"|"Wynik kontroli PS-ZP.9612.88.2012: pozytywna"|"2012-11-15"
"325823"|"Kontrola problemowa PS-ZP.9612.50.2013 - pozytywna z nieprawidłowościami"|"2013-05-13"
"325830"|"Kontrola PS-ZP.9612.1.2013 wynik: pozytywna z nieprawidłowościami. "|"2013-01-01"
"325832"|"Kontrola problemowa PS-ZP.9612.123.2013 - pozytywna z nieprawidłowościami"|"2013-10-25"
"325852"|"Kontrola PS-ZP.9612.72.2012: pozytywna"|"2012-09-25"
"325855"|"kontrola problemowa PZ-ZPSM.9612.20.2016EC - pozytywna z nieprawidłowościami"|"2016-02-29"
"325880"|"Kontrola problemowa PS-ZP.9612.3.2014/UK - pozytywna z nieprawidłowościami"|"2014-02-12"
"325891"|"Kontrola znak: PS-Z.9612.78.2011 - pozytywna."|"2011-11-25"
"325907"|"Kontrola znak: PS.9612.32.2012 - pozytywna"|"2012-03-23"
"325919"|"Kontrola znak: PS-Z.9612.36.2012 - pozytywna"|"2012-03-27"
"325981"|"Konrtola PS-ZP.9612.45.2014 pozytywna z nieprawidłowościami."|"2014-05-28"
"325988"|"Zakres przedmiotowy kontroli - sprawdzenie zgodności wykonywanej działalności leczniczej z przepisami ustawy z dnia 15 kwietnia 2011 r. o działalności leczniczej (t.j. Dz. U. z 2013 r. poz. 217 z późn. zm) i przepisami wydanymi na jej podstawie oraz aktami powiązanymiWynik przeprowadzonej kontroli - negatywny"|"2014-09-30"
"325994"|"kontrola problemowa PZ-ZPSM.9612.24.2016EC - pozytywna z nieprawidłowościami            "|"2016-03-21"
"326056"|"Kontrola znak: PS-Z.9612.79.2011 - Pozytywna z uchybieniami"|"2011-11-22"
"326064"|"Kontrola problemowa PS-ZP.9612.27.2014 - pozytywna z nieprawidłowościami"|"2014-03-27"
"326067"|"Kontrola problemowa PS-ZP.9612.19.2013 - pozytywna z nieprawidłowościami"|"2013-02-22"
"326122"|"Kontrola PS-ZP.9612.2.2013 - Pozytywna z nieprawidłowościami."|"2013-01-29"
"326122"|"Kontrola PS-ZP.9612.40.2013 - Pozytywna."|"2013-04-16"
"326147"|"Kontrola PS-ZP.9612.36.2013 pozytywna z nieprawidłowościami"|"2013-06-26"
"326151"|"Kontrola problemowa PS-ZP.9612.78.2014/UK - pozytywna z nieprawidłowościami"|"2014-09-25"
"326162"|"Pozytywna z nieprawidłowościami-PS-ZP.9612.64.2014"|"2014-09-12"
"326176"|"Kontrola PS-ZP.9612.56.2012 w zakresie realizacji świadczeń zdrowotnych ze szczególnym uwzględnieniem opieki nad matką i dzieckiem w oddziale ginekologiczno-położniczym i neonatologicznym; ocena negatywna"|"2012-08-02"
"326183"|"PS-ZP.9612.9.2015- ocena pozytywna z nieprawidłowościami."|"2015-02-26"
"326184"|"Kontrola PS-ZP.9612.41.2012 w zakresie realizacji świadczeń zdrowotnych ze szczególnym uwzględnieniem opieki nad matką i dzieckiem w oddziale ginekologiczno-położniczym i neonatologicznym; ocena negatywna"|"2013-04-23"
"326190"|"PS-ZPSM.9612.22.2016 - ocena pozytywna z nieprawidłowościami."|"2016-03-11"
"326193"|"Kontrola problemowa PS-ZP.9612.143.2013 - pozytywna z nieprawidłowościami"|"2013-12-12"
"326197"|"Kontrola PS-ZP.9612.73.2014 w zakresie realizacji świadczeń zdrowotnych ze szczególnym uwzględnieniem opieki nad matką i dzieckiem w oddziale ginekologiczno-położniczym i neonatologicznym; ocena pozytywna z uchybieniami."|"2014-09-16"
"326197"|"Kontrola PS-ZPSM.9612.30.2015 - pozytywna z nieprawidłowościami."|"2015-05-28"
"326217"|"Kontrola problemowa PS-ZP.9612..72.2013 pozytywna."|"2013-06-28"
"326220"|"Kontrola znak: PS-Z.9612.5.2012 - pozytywna z uchybieniami."|"2012-01-20"
"326253"|"Kontrola znak: PS-ZP.9612.6.2012 - pozytywna"|"2012-04-02"
"326257"|"Kontrola problemowa PS-ZP.9612.67.2014/UK - pozytywna z nieprawidłowościami"|"2014-08-19"
"326276"|"Pozytywny z uchybieniami."|"2014-09-10"
"326319"|"Pozytywny z uchybieniami."|"2014-03-06"
"326326"|"Pozytywny."|"2014-12-23"
"326462"|"Pozytywny z nieprawidłowościami."|"2015-02-17"
"326481"|"Pozytywny z nieprawidłowościami."|"2015-01-23"
"326564"|"Pozytywny z uchybieniem."|"2015-01-22"
"326595"|"Pozytywny z nieprawidłowościami."|"2013-03-27"
"326599"|"Pozytywny z nieprawidłowościami."|"2013-06-17"
"326618"|"Pozytywny."|"2014-03-14"
"326673"|"Negatywny."|"2013-03-21"
"326766"|"Pozytywna z uchybieniami."|"2013-02-21"
"326857"|"Pozytywny z uchybieniami."|"2014-04-17"
"326884"|"Pozytywny z uchybieniami."|"2014-03-27"
"326887"|"Pozytywny z uchybieniami."|"2014-03-14"
"326931"|"Pozytywny z nieprawidłowościami."|"2015-01-28"
"326955"|"Pozytywny z uchybieniem."|"2015-01-16"
"326983"|"Pozytywny z uchybieniami."|"2014-04-23"
"326990"|"pozytywna z uchybieniami"|"2012-11-06"
"326990"|"Pozytywna z nieprawidłowościami"|"2014-12-08"
"326994"|"Pozytywna"|"2012-08-28"
"326996"|"Ocena kontroli - pozytywna bez zaleceń"|"2014-04-22"
"326996"|"pozytywna"|"2015-03-27"
"327001"|"Pozytywna"|"2012-02-28"
"327002"|"Pozytywna z nieprawidłowościami."|"2014-11-06"
"327004"|"Pozytywna - dotyczy Oddziału w Białej Podlaskiej, ul. Okopowa 3"|"2012-07-20"
"327004"|"Pozytywna - dotyczy Oddziału w Chełmie, ul. Nowy Świat 3"|"2012-08-31"
"327004"|"Pozytywna - dotyczy Oddziału w Chełmie, ul Nowy Świat 3"|"2012-09-07"
"327004"|"Pozytywny - dotyczy Oddziału w Białej Podlaskiej, ul. Okopowa 3"|"2012-07-20"
"327004"|"Pozytywny - dotyczy Oddziału w Chełmie, ul. Nowy Świat 3"|"2012-08-31"
"327004"|"Pozytywny - dotyczy Oddziału w Chełmie, ul Nowy Świat 3"|"2012-09-07"
"327004"|"Pozytywny"|"2013-03-19"
"327004"|"Pozytywny"|"2014-02-28"
"327008"|"pozytywna z uchybieniami"|"2012-11-21"
"327011"|"Pozytywna z uchybieniami"|"2012-09-10"
"327011"|"Pozytywna."|"2014-07-23"
"327012"|"Pozytywny z uchybieniami "|"2013-05-20"
"327016"|"Pozytywna"|"2012-06-15"
"327016"|"Pozytywna"|"2012-09-04"
"327016"|"Pozytywna"|"2012-12-17"
"327017"|"Pozytywna z uchybieniami."|"2015-10-05"
"327018"|"Pozytywna z uchybieniami."|"2012-02-22"
"327021"|"Pozytywna z uchybieniami"|"2012-08-21"
"327035"|"Pozytywna."|"2013-12-17"
"327052"|"pozytywna"|"2012-12-11"
"327052"|"pozytywna z nieprawidłowościami "|"2014-08-28"
"327060"|"Ocena pozytywna z uchybieniami"|"2014-06-16"
"327093"|"Pozytywny z uchybieniami"|"2013-07-17"
"327108"|"pozytywna z nieprawidłowościami"|"2015-07-29"
"327120"|"Pozytywna."|"2013-11-25"
"327129"|"pozytywna z uchybieniami"|"2014-12-05"
"327132"|"Pozytywny z uchybieniami"|"2013-03-25"
"327182"|"Pozytywna z uchybieniami"|"2012-07-24"
"327243"|"Pozytywna z uchybieniami"|"2014-03-12"
"327254"|"pozytywna z uchybieniami"|"2014-03-21"
"327255"|"Pozytywny z uchybieniami"|"2013-06-25"
"327260"|"pozytywna z uchybieniami"|"2013-09-04"
"327261"|"W wyniku kontroli Podmiotu  stwierdzono:1.Struktura organizacyjna jest zgodna ze stanem faktycznym oraz danymi rejestrowymi;2.Podmiot leczniczy posiada zawartą umowę OC;3.W dokumentacji podmiotu leczniczego zgromadzono dokumenty potwierdzające prawo wykonywania zawodu aktualnie zatrudnionej kadry lekarskiej, pielęgniarskiej oraz położnej;4.W placówce umieszczono informację o prawach pacjenta;5.Pomieszczenia podmiotu spełniały wymagania ogólne oraz szczegółowe określone dla ambulatorium;6.Podmiot dysponował dokumentacją potwierdzającą sprawność techniczną aparatu  EKG;7.Nieprawidłowe prowadzenie indywidualnej dokumentacji medycznej - brak oświadczenia pacjenta o upoważnieniu osoby bliskiej do uzyskiwania informacji o stanie jej zdrowia i udzielonych świadczeniach zdrowotnych albo oświadczenia o braku takiego upoważnienia, oraz oświadczenia pacjenta o upoważnieniu osoby bliskiej do uzyskiwania dokumentacji albo oświadczenie o braku takiego upoważnienia; 8.Zbiorcza dokumentacja medyczna prowadzona i przechowywana jest zgodnie z normami;9.Nieustaleni regulaminu organizacyjnego podmiotu leczniczego."|"2014-06-06"
"327262"|"pozytywna z uchybieniami"|"2012-12-17"
"327302"|"Ocena pozytywna z uchybieniami."|"2015-05-18"
"327343"|"Pozytywna"|"2013-08-09"
"327343"|"pozytywna z uchybieniami"|"2013-10-03"
"327348"|"pozytywna z uchybieniami"|"2013-03-20"
"327358"|"Pozytywna"|"2012-07-04"
"327358"|"Pozytywna"|"2013-05-20"
"327365"|"pozytywna z uchybieniami"|"2014-09-25"
"327365"|"pozytywna z nieprawidłowościami"|"2014-09-30"
"327375"|"Pozytywna"|"2012-09-11"
"327379"|"Pozytywna"|"2014-02-27"
"327389"|"Ocena pozytywna."|"2014-02-26"
"327413"|"pozytywna"|"2013-10-09"
"327419"|"Pozytywna z nieprawidłowościami"|"2013-11-25"
"327419"|"pozytywna z uchybieniami"|"2015-01-26"
"327420"|"Pozytywny"|"2013-08-26"
"327424"|"Pozytywna z uchybieniami."|"2014-12-29"
"327426"|"Pozytywny z uchybieniami"|"2015-05-18"
"327435"|"pozytywna z uchybieniami"|"2014-05-13"
"327452"|"Pozytywna z uchybieniami"|"2013-04-30"
"327470"|"Pozytywny z uchybieniami"|"2015-04-27"
"327471"|"Pozytywna z uchybieniami"|"2012-08-07"
"327492"|"Ocena pozytywna z uchybieniami."|"2013-10-22"
"327506"|"Pozytywna"|"2012-11-22"
"327510"|"pozytywna z uchybieniami"|"2015-02-17"
"327527"|"Pozytywna z uchybieniami"|"2012-03-22"
"327529"|"pozytywna z uchybieniami"|"2013-03-27"
"327540"|"Pozytywna z uchybieniami."|"2013-10-28"
"327543"|"Pozytywna"|"2012-05-18"
"327557"|"Pozytywna"|"2012-03-29"
"327559"|"Pozytywna z uchybieniami."|"2014-07-15"
"327566"|"Ocena pozytywna z uchybieniami."|"2015-03-31"
"327578"|"Pozytywny z uchybieniami"|"2015-11-05"
"327593"|"Pozytywna"|"2012-05-24"
"327593"|"Pozytywna"|"2015-11-05"
"327610"|"Pozytywna z uchybieniami"|"2012-05-22"
"327610"|"Pozytywna."|"2013-11-14"
"327611"|"Kontrola pozytywna z uchybieniami."|"2014-02-26"
"327613"|"Pozytywna z uchybieniami"|"2012-09-21"
"327621"|"pozytywna z uchybieniami"|"2013-03-25"
"327630"|"Pozytywna z uchybieniami."|"2012-03-29"
"327631"|"Pozytywna"|"2012-07-16"
"327634"|"pozytywna"|"2013-03-05"
"327636"|"pozytywna z uchybieniami"|"2013-07-16"
"327638"|"Pozytywny z uchybieniami"|"2013-09-20"
"327638"|"Pozytywny"|"2016-02-15"
"327641"|"pozytywna z uchybieniami"|"2014-10-02"
"327644"|"Pozytywna"|"2012-03-15"
"327653"|"Pozytywna"|"2014-09-30"
"327653"|"Pozytywna z uchybieniami"|"2014-10-06"
"327657"|"pozytywna z uchybieniami"|"2013-03-06"
"327660"|"Pozytywna z uchybieniami."|"2014-07-29"
"327663"|"pozytywna"|"2014-11-04"
"327664"|"Ocena pozytywna z uchybieniami."|"2014-02-18"
"327667"|"Pozytywny z uchybieniami (3 zalecenia)"|"2015-10-26"
"327670"|"Pozytywny z uchybieniami"|"2015-06-01"
"327696"|"pozytywna "|"2014-12-02"
"327696"|"pozytywna z uchybieniami"|"2014-12-09"
"327708"|"Pozytywna z uchybieniami"|"2012-02-10"
"327722"|"Pozytywny z uchybieniami"|"2013-08-27"
"327743"|"pozytywna"|"2014-05-27"
"327751"|"Pozytywny "|"2013-03-27"
"327751"|"Pozytywny"|"2014-10-29"
"327751"|"pozytywna z uchybieniami"|"2015-08-21"
"327813"|"pozytywna z uchybieniami"|"2014-09-23"
"327836"|"Pozytywna z uchybieniami."|"2015-04-28"
"327849"|"pozytywna z uchybieniami"|"2013-03-25"
"327861"|"Ocena pozytywna z uchybieniami."|"2015-03-16"
"327865"|"pozytywna z uchybieniami"|"2014-05-12"
"327886"|"Nie wydano zaleceń pokontrolnych"|"2014-03-03"
"327886"|"Wydano 2 zalecenia pokontrolne"|"2013-05-23"
"327888"|"Kontrola  w zakresie oceny zabezpieczenia i realizacji opieki zdrowotnej nad matką i dzieckiem zgodnie z art. 111 ustawy z dnia 15 kwietnia 2011r. o działalności leczniczej. Wydano 3 zalecenia pokontrolne."|"2014-09-05"
"327892"|"wydano 5 zaleceń pokontrolnych"|"2015-07-14"
"327897"|"Przedmiotem kontroli była ocena zabezpieczenia i realizacji opieki zdrowotnej nad matką i dzieckiem zgodnie z art. 111 ustawy z dnia 15 kwietnia 2011r. o działalności leczniczej. Nie stwierdzono nieprawidłowości w zakresie objętym kontrolą."|"2012-09-21"
"327900"|"Kontrola 13,18.06.2013. Wydano 2 zalecenia pokontrolne:1.dostarczenie aktualnej opinii sanitarnej2.dostosowanie nazwy podmiotu oraz przedsiębiorstwa na zewnątrz budynku"|"2013-06-13"
"327902"|"Nie wydano zaleceń pokontrolnych"|"2013-03-29"
"327905"|"Nie wydano zaleceń pokontrolnych"|"2013-04-29"
"327907"|"Wydano 1 zalecenie popkontrolne:1.złożenie wniosku o wpis zmian do rejestru PWDL dot. kodów resortowych oraz polisy oc na 2013r."|"2013-05-28"
"327908"|"Nie wydano zaleceń pokontrolnych"|"2013-11-06"
"327908"|"Ocena zabezpieczenia i realizacji opieki nad matką i dzieckiem - wydano 2 zalecenia pokontrolne"|"2014-09-10"
"327909"|"Nie wydano zaleceń pokontrolnych"|"2013-01-15"
"327910"|"Nie wydano zaleceń pokontrolnych"|"2013-06-14"
"327911"|"Nie wydano zaleceń pokontrolnych"|"2013-01-18"
"327915"|"wydano 4 zalecenia pokontrolne"|"2014-04-24"
"327921"|"Nie wydano zaleceń pokontrolnych"|"2013-09-17"
"327922"|"Nie wydano zaleceń pokontrolnych"|"2013-02-20"
"327927"|"Nie wydano zaleceń pokontrolnych"|"2015-08-11"
"327931"|"Nie wydano zaleceń pokontrolnych"|"2013-01-23"
"327944"|"Ocena pozytywna z nieprawidłościami;- brak zgłoszonej polisy ubezpieczenia oc- brak zgłoszenia zmiany nazwiska podmiotu leczniczego- brak wykreślenia niefunkcjonujących 6 komórek organizacyjnych oraz nie zarejestrowano 2 działających poradni"|"2012-10-18"
"327947"|"Kontrola w dn.23,25.05.2013. Nie wydano zaleceń pokontrolnych."|"2013-05-23"
"327948"|"Wydano 1 zalecenie:-zwiększyć liczby wykonywanych przez pielęgniarki POZ testów przesiewowych u dzieci w wieku 2, 4 i 5 lat"|"2013-09-26"
"327950"|" wydano 2 zalecenia pokontrolne "|"2013-05-31"
"327950"|"nie wydano zaleceń pokontrolnych - ocena zabezpieczenia i realizacji opieki zdrowotnej nad matką i dzieckiem"|"2015-02-11"
"327953"|"Wydano 1 zalecenie pokontrolne:- złożenie wniosku o wpis zmian dot. uzupełnienia kodów resortowych"|"2013-02-19"
"327955"|"wydano 1 zalecenie pokontrolne"|"2013-03-21"
"327956"|"Nie wydano zaleceń pokontrolnych"|"2013-11-20"
"327958"|"Wydano 2 zalecenia pokontrolne"|"2013-01-15"
"327959"|"Ocena pozytywna z nieprawidłowościami - nie zgłoszono do organu rejestrowego polisy obowiązkowego ubezpieczenia odpowiedzilaności cywilnej wraz z wnioskiem o wpis zmian - termin wyk.14 dni"|"2012-04-20"
"327963"|"Wydano 4 zalecenia pokontrolne"|"2013-01-14"
"327963"|"ocena zabezpieczenia i realizacji opieki nad matką i dzieckiem - wydano 2 zalecenia pokontrolne"|"2014-09-18"
"327969"|"Ogólna ocena jednostki kontrolowanej- pozytywna."|"2011-11-30"
"327970"|"Nie wydano zaleceń pokontrolnych"|"2013-06-21"
"327970"|"Kontrola w dn.06-07.02.2014 w zakresie zabezpieczenia i realizacji opieki zdrowotnej nad matką i dzieckiem. Wydano 2 zalecenia pokontrolne."|"2014-02-06"
"327974"|"Nie wydano  zaleceń pokontrolnych"|"2013-09-23"
"327975"|"Kontrola 13-14.02.2013.Wydano 1 zalecenie pokontrolne:1.zwiększenie liczby badań bilansowych u dzieci"|"2013-02-13"
"327976"|"Przedmiotem kontroli była ocena zabezpieczenia i realizacji opieki zdrowotnej nad matką i dzieckiem zgodnie z art. 111 ustawy z dnia 15 kwietnia 2011r. o działalności leczniczej. Zalecenia pokontrolne z dn. 09.05.2012r."|"2012-03-28"
"327976"|"nie wydano zaleceń pokontrolnych"|"2015-02-23"
"327980"|"Wydano 1 zalecenie pokontrolne:-wniosek o wpis zmian dot uzupełnienia kodów resortowych"|"2012-09-26"
"327983"|"Wydano 1 zalecenie pokontrolne:1.Podanie do wiadomości pacjentów w spsosób zwyczajowo przyjęty informacji dot. braku opłat za udostępnienie dokumentacji medycznej oraz za świadczenia zdrowotne"|"2013-02-20"
"327984"|"Ocena pozytywna"|"2011-12-28"
"327985"|"Nie wydano zaleceń pokontrolnych"|"2013-03-08"
"327987"|"Nie wydano zaleceń pokontrolnych"|"2013-09-24"
"327987"|"Kontrola w dn.20,24.04.2015 - Oddział Kształcenia i Spraw Medycznych Wydziału Zdrowia LUW:- wydano 1 zalecenie pokontrolne"|"2015-04-20"
"327991"|"Oddział NiKwOZ: zalecenia: 1.ustalenie regulaminu organicacyjnego2.zmiana w ksiedze rej.- gabinet pielęgniarki środowiskowo-rodzinnej3.wyposazyć neseser położnej4.rzetelne prowadzenie dokumentacji medycznej"|"2012-10-04"
"327991"|"Data kontroli 07,09,10.09.2015. Nie wydano zaleceń pokontrolnych."|"2015-09-07"
"327992"|"Wydano 2 zalecenia pokontrolne:1.dostarczenie aktualnej opinii sanitarnej2.podanie do wiadomości pacjentów w sposób zwyczajowo przyjęty informacji dot. wysokości opłat za udostępnienie dokumentacji medycznej oraz za usługi medyczne"|"2013-02-27"
"328002"|"Wydano 2 zalecenia pokontrolne:1.dostosowanie oznakowania podmiotu/przedsiębiorstwa na zewnątrz budynku2.umieszczenie informacji dla pacjentów dot. opłat za udostępnienie dokumentacji medycznej"|"2013-09-20"
"328009"|"Nie wydano zaleceń pokontrolnych"|"2013-05-17"
"328009"|"Nie wydano zaleceń pokontrolnych"|"2013-01-15"
"328011"|"Wydano 1 zalecenie pokontrolne"|"2013-05-15"
"328013"|"Wydano 2 zalecenia pokontrolne:1.złożenie wniosku o wpis zmian dot.aktualizacji nazwy komórki org 2.zatrudnienie lekarza specjalisty w dziedzinie rehabilitacji "|"2013-05-29"
"328015"|"Nie wydano zaleceń pokontrolnych"|"2013-01-29"
"328016"|"Wydano 1 zalecenie pokontrolne:- złożenie umowy ubezpieczenia oc wraz z wnioskiem o wpis zmian"|"2013-01-25"
"328017"|"Wydano 2 zalecenia pokontrolne"|"2013-10-15"
"328028"|"Wydano 2 zalecenia pokontrolne:1.złozenie wniosku o wpis zmian dot. wpisu kodów resortowych2. uzupełnienie regulaminu organizacyjnego"|"2013-09-11"
