"ID Księgi"|"Zakres"|"Data wystawienia"
"326276"|"Chirurgia dziecieca - staz kier."|"2015-01-30"
"326276"|"Chirurgia dziecieca - specjalizacja"|"2015-01-30"
"326276"|"Otorynolaryngologia - specjalizacja"|"2014-10-01"
"326276"|"Audiologia i foniatria - specjalizacja"|"2014-10-01"
"326276"|"Endokrynologia i diabetologia dziecieca - specjalizacja"|"2015-09-01"
"326276"|"Endokrynologia i diabetologia dziecieca - staz kier."|"2015-09-01"
"326276"|"Choroby pluc dzieci - staz kier."|"2015-09-01"
"326286"|"Oddział wewnętrzny Strzelno - akredytacja na prowadzenie specjalizacji w zakresie chorób wewnętrznych"|"2007-10-16"
"326301"|"specjalizacja w dziedzinie chorób płuc"|"2003-04-11"
"326301"|"specjalizacja w dziedzinie chirurgii klatki piersiowej na Oddziale Chirurgii Klatki Piersiowej i Nowotworów"|"2004-10-28"
"326301"|"specjalizacja w dziedzinie rehabilitacji medycznej na Oddziale Rehabilitacji"|"2012-04-02"
"326301"|"staż kierunkowy w dziedzinie chorób płuc dla innych specjalności"|"2003-04-11"
"326301"|"staż kierunkowy w zakresie diagnostyki gruźlicy i mikobakteriozy w ramach specjalizacji w mikrobiologii medycznej dla diagnostów laboratoryjnych w Zakładzie Diagnostyki Mikrobiologicznej"|"2005-04-01"
"326301"|"staż kierunkowy na oddziale intensywnej opieki medycznej / intensywnej terapii w ramach specjalizacji w laboratoryjnej diagnostyce medycznej na Oddziale Anestezjologii i Intensywnej Terapii"|"2011-03-01"
"326314"|"specjalizacja w dziedzinie psychiatrii dzieci i młodzieży"|"2012-11-06"
"326314"|"staż kierunkowy podstawowy w dziedzinie psychiatrii"|"2002-07-26"
"326314"|"staż kierunkowy z dziedziny psychiatrii dzieci i młodzieży"|"2012-11-06"
"326317"|"Choroby zakazne - specjalizacja"|"1999-11-10"
"326317"|"Pediatria - specjalizacja"|"2012-10-25"
"326317"|"Choroby zakazne - staz kier."|"2003-05-09"
"326452"|"w dziedzinie pediatrii, chorób wewnętrznych"|"2013-11-08"
"326478"|"specjalizacja w dziedzinie chorób wewnętrznych Na Oddziale Wewnętrznym"|"2004-03-29"
"326510"|"specjalizacja z dziedziny chorób wewnętrznych"|"2002-07-26"
"326510"|"specjalizacja z dziedziny chirurgii ogólnej"|"2002-07-26"
"326510"|"specjalizacja z dziedziny pediatrii"|"2011-11-08"
"326510"|"staż podyplomowy z dziedziny: chorób wewnętrznych, pediatrii, chirurgii ogólnej, ginekologii i położnictwa, intensywnej terapii, medycyny ratunkowej, medycyny rodzinnej"|"2010-05-19"
"326590"|"Medycyna rodzinna - specjalizacja"|"2015-10-05"
"326608"|"Medycyna rodzinna - specjalizacja"|"2015-04-21"
"326610"|"Medycyna rodzinna - specjalizacja"|"2015-05-07"
"326775"|"Staż specjalizacyjny w dziedzinie chorób wewnętrznych na Oddziale Chorób Wewnętrznych"|"2006-03-28"
"326775"|"Staż specjalizacyjny w dziedzinie chirurgii ogólnej na Oddziale Chirurgii Ogólnej"|"2010-08-17"
"326776"|"Medycyna rodzinna - specjalizacja"|"2015-01-01"
"326834"|"Protetyka stomatologiczna - specjalizacja"|"2005-10-01"
"326834"|"Protetyka stomatologiczna - staz kier."|"2005-10-01"
"326839"|"Medycyna rodzinna - specjalizacja"|"2015-04-21"
"326902"|"Medycyna rodzinna - specjalizacja"|"2015-09-01"
"326903"|"Medycyna rodzinna - specjalizacja"|"2015-10-05"
"326975"|"Prowadzenie kształcenia podyplomowego w zakresie Balneologii i Medycyny Fizykalnej"|"2005-01-03"
"326980"|"jednostka organizacyjna prowadząca specjalizację w dziedzinie pediatrii"|"2009-08-10"
"326980"|"jednostka organizacyjna prowadząca staże kierunkowe z dziedziny pediatrii"|"2009-08-10"
"326980"|"jednostka organizacyjna prowadząca specjalizację w dziedzinie chorób wewnętrznych"|"2009-08-10"
"326999"|"neurologia"|"2003-03-28"
"326999"|"radiologia i diagnostyka obrazowa"|"2006-03-28"
"326999"|"rehabilitacja medyczna"|"2009-04-07"
"326999"|"psychiatria"|"2010-03-31"
"326999"|"choroby wewnętrzne"|"2010-03-31"
"326999"|"psychiatria staż podstawowy szpitalny"|"2003-02-14"
"326999"|"psychiatria staż podstawowy szpitalny"|"2004-10-28"
"326999"|"psychiatria w ramach specjalizacji z: inne specjalności"|"2005-10-27"
"326999"|"psychiatria staż kierunkowy - poradniany"|"2007-10-16"
"326999"|"psychiatria dzieci i młodzieży -staż kierunkowy "|"2003-02-14"
"326999"|"psychiatria staż podstawowy szpitalny"|"2009-04-07"
"326999"|"psychiatria staż kierunkowy fakultatywny z psychiatrii sądowej"|"2010-03-31"
"326999"|"psychologia kliniczna"|"2012-03-06"
"326999"|"staż w laboratorium  "|"2006-10-01"
"326999"|"Psychiatria dzieci i młodzieży - specjalizacja"|"2015-01-08"
"326999"|"Psychiatria dzieci i młodzieży - staż kier."|"2015-01-08"
"326999"|"Psychiatria - staż kier."|"2014-11-20"
"327004"|"Medycyna pracy - specjalizacja"|"1999-12-23"
"327004"|"Medycyna sportowa - specjalizacja"|"2010-08-17"
"327011"|"Choroby wewnętrzne - specjalizacja"|"2014-11-06"
"327011"|"Geriatria - specjalizacja"|"2014-11-06"
"327011"|"Pediatria - specjalizacja"|"2014-11-06"
"327011"|"Psychiatria - staż kier."|"2014-11-06"
"327016"|"Wpis na listę Ministra Zdrowia jednostek prowadzących specjalizację w dziedzinie chorób wewnętrznych"|"2002-12-02"
"327016"|"Wpis na listę Ministra Zdrowia jednostek prowadzących specjalizację w dziedzinie anestezjologii i intensywnej terapii"|"2006-03-28"
"327016"|"Wpis na listę Ministra Zdrowia jednostek prowadzących specjalizację w w dziedzinie chirurgii ogólnej"|"2002-07-26"
"327016"|"Wpis na listę Ministra Zdrowia jednostek prowadzących specjalizację w dziedzinie chorób zakaźnych"|"2006-10-25"
"327016"|"Wpis na listę Ministra Zdrowia jednostek prowadzących specjalizację w dziedzinie medycyny ratunkowej"|"2002-12-02"
"327016"|"Wpis na listę Ministra Zdrowia jednostek prowadzących specjalizację w dziedzinie neurologii"|"2002-08-29"
"327016"|"Wpis na listę Ministra Zdrowia jednostek prowadzących specjalizację w dziedzinie ortopedii i traumatologii narządu ruchu"|"2002-04-22"
"327016"|"Wpis na listę Ministra Zdrowia jednostek prowadzących specjalizację w dziedzinie otorynolaryngologii"|"2002-07-26"
"327016"|"Wpis na listę Ministra Zdrowia jednostek prowadzących specjalizację w dziedzinie położnictwa i ginekologii"|"2006-03-28"
"327016"|"Wpis na listę Ministra Zdrowia jednostek prowadzących specjalizację w dziedzinie radiologii i diagnostyki obrazowej"|"2002-07-26"
"327016"|"Wpis na listę Ministra Zdrowia jednostek prowadzących specjalizację w dziedzinie neonatologii"|"2006-06-30"
"327016"|"Wpis na listę Ministra Zdrowia jednostek prowadzących specjalizację w dziedzinie pediatrii"|"2007-03-27"
"327016"|"Wpis na listę Ministra Zdrowia jednostek prowadzących staż kierunkowy w dziedzinie chorób wewnętrznych"|"2006-06-30"
"327016"|"Wpis na listę Ministra Zdrowia jednostek prowadzących staż kierunkowy w dziedzinie chiurgii ogólnej"|"2006-03-28"
"327016"|"Wpis na listę Ministra Zdrowia jednostek prowadzących staż kierunkowy w dziedzinie neurologii"|"2004-10-28"
"327016"|"Wpis na listę Ministra Zdrowia jednostek prowadzących staż kierunkowy w dziedzinie anestezjologii i intensywnej terapii"|"2006-03-28"
"327016"|"Wpis na listę Ministra Zdrowia jednostek prowadzących staż kierunkowy w dziedzinie chorób zakaźnych"|"2006-03-28"
"327016"|"Wpis na listę Ministra Zdrowia jednostek prowadzących staż kierunkowy w dziedzinie ortopedii i traumatologii narządu ruchu"|"2006-06-30"
"327016"|"Wpis na listę Ministra Zdrowia jednostek prowadzących staż kierunkowy w dziedzinie położnictwa i ginekologii"|"2006-03-28"
"327016"|"Wpis na listę Ministra Zdrowia jednostek prowadzących staż kierunkowy w dziedzinie radiologii i diagnostyki obrazowej"|"2006-03-28"
"327016"|"Wpis na listę Ministra Zdrowia jednostek prowadzących staż kierunkowy w dziedzinie kardiologii"|"2006-06-30"
"327016"|"Wpis na listę Ministra Zdrowia jednostek prowadzących staż kierunkowy w dziedzinie neonatologii"|"2006-06-30"
"327016"|"Wpis na listę Ministra Zdrowia jednostek prowadzących staż kierunkowy w dziedzinie psychiatrii"|"2006-10-25"
"327016"|"Wpis na listę Ministra Zdrowia jednostek prowadzących staż kierunkowy w dziedzinie pediatrii"|"2007-03-27"
"327016"|"Wpis na listę Ministra Zdrowia jednostek prowadzących staż kierunkowy w dziedzinie urologii"|"2012-01-17"
"327021"|"Neurologia - specjalizacja"|"2002-01-01"
"327021"|"Neurologia - staż kier."|"2002-01-01"
"327021"|"Położnictwo i ginekologia - specjalizacja"|"2005-01-01"
"327021"|"Położnictwo i ginekologia - staż kier."|"2005-01-01"
"327021"|"Pediatria - specjalizacja"|"2007-01-01"
"327021"|"Pediatria - staż kier."|"2007-01-01"
"327021"|"Chirurgia ogólna - staż kier."|"2008-01-01"
"327021"|"Reumatologia - specjalizacja"|"2009-01-01"
"327021"|"Reumatologia - staż kier."|"2009-01-01"
"327021"|"Uprawnienie do prowadzenia staży podyplomowych"|"2001-01-31"
"327021"|"Choroby wewnetrzne - specjalizacja"|"2002-01-01"
"327021"|"Choroby wewnetrzne - staz kier."|"2002-01-01"
"327052"|"Anestezjologia i intensywna terapia - specjalizacja"|"2003-04-11"
"327052"|"Medycyna ratunkowa - specjalizacja"|"2002-12-02"
"327052"|"Kardiochirurgia - specjalizacja"|"2002-07-26"
"327052"|"Radiologia i diagnostyka obrazowa - specjalizacja"|"2003-04-17"
"327052"|"Neurologia - specjalizacja"|"2003-03-28"
"327052"|"Otorynolaryngologia - specjalizacja"|"2003-02-14"
"327052"|"Położnictwo i ginekologia - specjalizacja"|"2003-03-28"
"327052"|"Rehabilitacja medyczna - specjalizacja"|"2003-04-25"
"327052"|"Chirurgia ogólna - specjalizacja"|"2003-05-20"
"327052"|"Neonatologia - specjalizacja"|"2006-10-25"
"327052"|"Nefrologia - specjalizacja"|"2009-11-05"
"327052"|"Endokrynologia - specjalizacja"|"2003-06-09"
"327052"|"Choroby wewnętrzne - specjalizacja"|"2003-05-09"
"327052"|"Kardiologia - specjalizacja"|"2003-04-11"
"327052"|"Urologia - specjalizacja"|"2009-11-05"
"327052"|"Okulistyka - specjalizacja"|"2009-07-01"
"327052"|"Prowadzenie stażu podyplomowego."|"2001-01-31"
"327052"|"Staż kierunkowy - rezonans magnetyczny."|"2011-11-08"
"327052"|"Urologia - staż kier."|"2006-03-28"
"327052"|"Neonatologia - staż kier."|"2003-05-09"
"327052"|"Geriatria - specjalizacja"|"2012-11-06"
"327052"|"Diabetologia - specjalizacja"|"2013-05-07"
"327052"|"Kardiochirurgia - staż kier."|"2002-07-26"
"327052"|"Radiologia i diagnostyka obrazowa - staż kier."|"2003-04-17"
"327052"|"Neurologia - staż kier."|"2003-03-28"
"327052"|"Otorynolaryngologia - staż kier."|"2003-06-09"
"327052"|"Położnictwo i ginekologia - staż kier."|"2003-03-28"
"327052"|"Rehabilitacja medyczna - staż kier."|"2003-04-25"
"327052"|"Chirurgia ogólna - staż kier."|"2003-05-20"
"327052"|"Nefrologia - staż kier."|"2003-04-25"
"327052"|"Endokrynologia - staż kier."|"2003-06-09"
"327052"|"Kardiologia - staż kier."|"2003-04-11"
"327052"|"Anestezjologia i intensywna terapia - staż kier."|"2003-04-11"
"327052"|"Choroby wewnętrzne - specjalizacja"|"2006-03-23"
"327052"|"Onkologia kliniczna - specjalizacja"|"2015-02-05"
"327052"|"Chirurgia naczyniowa - specjalizacja"|"2015-03-25"
"327052"|"Chirurgia naczyniowa - staz kier."|"2015-03-30"
"327052"|"Chirurgia onkologiczna - specjalizacja"|"2016-01-27"
"327053"|"Medycyna rodzinna - specjalizacja"|"2015-05-08"
"327120"|"Medycyna rodzinna - specjalizacja"|"2015-12-03"
"327186"|"Medycyna rodzinna - specjalizacja"|"2015-10-05"
"327256"|"Medycyna rodzinna - specjalizacja"|"2015-10-05"
"327270"|"Medycyna rodzinna - specjalizacja"|"2015-12-04"
"327305"|"Prowadzenie stażu podyplomowego lekarzy dentystów w zakresie podstawowym"|"2008-06-13"
"327357"|"Medycyna rodzinna - specjalizacja"|"2015-10-05"
"327365"|"Medycyna rodzinna - specjalizacja"|"2015-10-05"
"327526"|"Stomatologia zachowawcza z endodoncja - specjalizacja"|"2015-04-08"
"327536"|"Dermatologia i wenerologia - specjalizacja"|"2011-08-10"
"327754"|"Medycyna rodzinna - specjalizacja"|"2015-10-05"
"328117"|"Specjalizacje w dziedzinie medycyny pracy - staże kierunkowe"|"1999-12-03"
"328118"|"W ZAKRESIE KSZTAŁCENIA MEDYCYNY RODZINNEJ - WPIS NA LIŚCIE MINISTERSTWA ZDROWIA"|"2001-01-01"
"328169"|"Stomatologia zachowawcza z endodoncją - specjalizacja"|"2003-02-03"
"328181"|"podmiot leczniczy posiada uprawnienia do  prowadzenia specjalizacji w dziedzinie psychiatrii dzieci i młodzieży - 5 miejsc szkoleniowych."|"2011-06-28"
"328200"|"Jednostka organizacyjna prowadząca staże kierunkowe z dziedziny medycyny rodzinnej na obszarze Rzeczpospolitej Polskiej."|"2010-06-30"
"328267"|"- anestezjologia i intensywna terapia- chirurgia dziecięca- chirurgia ogólna- chirurgia onkologiczna- chirurgia stomatologiczna- choroby płuc- choroby wewnętrzne- reumatologia- diabetologia- endokrynologia- gastroenterologia- nefrologia- hematologia- kardiologia- choroby zakaźne- neonatologia- neochirurgia- neurologia- okulistyka- onkologia kliniczna- ortopedia i traumatologia narządu ruchu- otolaryngologia- pediatria- neurologia dziecięca- położnictwo i ginekologia- urologia- rehabilitacja medyczna- psychiatria- radiologia i diagnostyka obrazowa- patomorfologia- medycyna nuklearna- medycyna ratunkowa- medycyna rodzinna"|"2002-11-19"
"328334"|"Podmiot uprawniony do prowadzenia stażu podyplomowego w zakresie stomatologii"|"2007-10-16"
"328346"|"W DZIEDZINIE CHIRURGII STOMATOLOGICZNEJ"|"2012-04-01"
"328475"|"Oddział Chorób Wewnętrznych - choroby wewnętrzne"|"2002-12-02"
"328475"|"Oddział Chorób Wewnętrznych, Diabetologii i Farmakologii Klinicznej z Kliniką Chorób Wewnętrznych, Diabetologii i Farmakologii Klinicznej Uniwersytetu Medycznego w Łodzi - choroby wewnętrzne, diabetologia"|"2008-02-01"
"328475"|"Oddział Kardiologiczny - choroby wewnętrzne"|"2005-10-27"
"328475"|"Oddzial Kardiologiczny - kardiologia"|"2009-07-01"
"328475"|"Oddział Gastrologiczny - choroby wewnętrzne"|"2003-05-09"
"328475"|"Oddział Intensywnej Terapii i Anestezjologii - anestezjologia i intensywna terapia"|"2003-02-24"
"328475"|"Oddział Chirurgiczny Ogólny - z Oddziałem Klinicznym Chirurgii Ogólnej i Onkologicznej Uniwersytetu Medycznego w Łodzi - chirurgia ogólna"|"2002-07-26"
"328475"|"Oddział Medycyny Nuklearnej i Endokrynologii Onkologicznej - endokrynologia"|"2003-02-24"
"328475"|"Oddział Neurologiczny z Pododdziałem Udarowym - neurologia"|"2004-03-29"
"328475"|"Oddział Okulistyczny - okulistyka"|"2008-03-19"
"328475"|"Oddział Chirurgii Urazowej-Ortopedycznej - ortopedia i traumatologia narządu ruchu"|"2002-07-26"
"328475"|"Oddział Otolaryngologiczny - otolaryngologia"|"2002-07-26"
"328475"|"Oddział Pedriatryczny - pedriatria"|"2005-03-31"
"328475"|"Oddział Ginekologiczno-Położniczy - położnictwo i ginekologia"|"2002-07-26"
"328475"|"Zakład Diagnostyki Obrazowej - radiologia i diagnostyka obrazowa"|"2003-02-24"
"328475"|"Oddział Rehabilitacji - rehabilitacja medyczna"|"2003-02-14"
"328475"|"Oddział Urologiczny - urologia"|"2010-01-15"
"328516"|"Uprawnienia do prowadzenia specjalizacji w dziedzinie medycyny pracy na obszarze Rzeczypospolitej Polskiej"|"2003-04-11"
"328665"|"Chirurgia stomatologiczna - staż kier."|"2002-09-02"
"328665"|"Ortodoncja - staż kier."|"2002-09-02"
"328665"|"Stomatologia dziecięca - staż kier."|"2002-09-02"
"328665"|"Stomatologia zachowawcza z endodoncją - staż kier."|"2002-09-02"
"328665"|"Protetyka stomatologiczna - staż kier."|"2002-09-02"
"328665"|"Periodontologia - staż kier."|"2002-09-02"
"328755"|"Akredytacja dotycząca prowadzenia staży cząstkowych z medycyny rodzinnej"|"2012-04-17"
"328879"|"Uprawnienia do prowadzenia specjalizacji w dziedzinie chirurgii stomatologicznej na obszarze Rzeczypospolitej Polskiej."|"2009-11-16"
"329177"|"uprawnienia do prowadzenia specjalizacji w dziedzinie chorób wewnęrznych w Oddziale Chorób Wewnętrznych I i II"|"2003-05-09"
"329177"|"uprawnienia do prowadzenia specjalizacji w dziedzinie chorób wewnęrznych w Oddziale Nefrologii"|"2003-05-09"
"329177"|"uprawnienia do prowadzenia specjalizacji w dziedzinie chorób wewnęrznych w Oddziale Kardiologii"|"2003-02-14"
"329177"|"uprawnienia do prowadzenia specjalizacji w dziedzinie kardiologii w Oddziale Kardiologii"|"2004-10-28"
"329177"|"uprawnienia do prowadzenia specjalizacji w dziedzinie położnictwa i ginekologii w Oddziale Położniczo-Ginekologicznym"|"2003-02-14"
"329177"|"uprawnienia do prowadzenia specjalizacji w dziedzinie pediatrii w Oddziale Dziecięcym"|"2005-03-31"
"329177"|"uprawnienia do prowadzenia specjalizacji w dziedzinie ortopedii i traumatologii narządu ruchu w Oddziale Ortopedyczno-Urazowym"|"2002-07-26"
"329177"|"uprawnienia do prowadzenia specjalizacji w dziedzinie anestezjologii i intensywnej terapii w oddziale Intensywnej Terapii i Anestezjologii"|"2003-02-24"
"329177"|"uprawnienia do prowadzenia specjalizacji w dziedzinie chorób zakaźnych w Oddziale Obserwacyjno-Zakaźnym"|"2009-07-01"
"329177"|"uprawnienia do prowadzenia specjalizacji w dziedzinie chirurgii ogólnej w Oddziale Chirurgii Ogólnej i Urologicznej"|"2003-03-28"
"329177"|"uprawnienia do prowadzenia specjalizacji w dziedzinie radiologii i diagnostyki obrazowej w Dziale Diagnostyki Obrazowej"|"2012-01-17"
"329177"|"uprawnienia do prowadzenia staży kierunkowych z dziedziny ortopedii i traumatologii narządu ruchu, w ramach specjalizacji z: chirurgii ogónej"|"2010-06-30"
"329177"|"uprawnienia do prowadzenia staży kierunkowych z dziedziny chirurgii ogólnej, w ramach specjalizacji z: ortopedii i traumatologii narządu ruchu, położnictwa i ginekologii"|"2012-01-17"
"329177"|"uprawnienia do prowadzenia staży kierunkowych z dziedziny położnictwa i ginekologii, w ramach specjalizacji z: chirurgii ogólnej"|"2011-01-18"
"329177"|"uprawnienia do prowadzenia staży kierunkowych z dziedziny anestezjologii i intensywnej terapii, w ramach specjalizacji z: chirurgii ogólnej, chorób wewnęrznych, chorób zakaźnych, kardiologii, okulistyki, położnictwa i ginekologii, nefrologii"|"2012-01-17"
"329177"|"uprawnienia do prowadzenia staży kierunkowych z dziedziny kardiologii, w ramach specjalizacji z: chorób wewnęrznych"|"2011-01-18"
"329177"|"uprawnienia do prowadzenia staży kierunkowych z dziedziny chorób wewnętrznych, w ramach specjalizacji z: chorób zakaźnych, położnictwa i ginekologii"|"2011-01-18"
"329177"|"uprawnienia do prowadzenia staży kierunkowych z dziedziny chorób zakaźnych, w ramach specjalizacji z: chorób wewnętrznych, kardiologii, pediatrii"|"2011-03-15"
"329177"|"uprawnienia do prowadzenia staży kierunkowych z dziedziny gastroenterologii, w ramach specjalizacji z: chorób wewnętrznych, kardiologii"|"2012-11-06"
"329177"|"Radiologia i diagnostyka obrazowa - specjalizacja"|"2013-11-05"
"329178"|"Uprawnienia do prowadzenia specjalizacji w dziedzinie chirurgii ogólnej na obszarze Rzeczypospolitej Polskiej"|"2003-12-01"
"329178"|"Uprawnienia do prowadzenia specjalizacji w dziedzinie chorób wewnętrznych na obszarze Rzeczypospolitej Polskiej"|"2006-03-28"
"329178"|"Uprawnienia do prowadzenia specjalizacji w dziedzinie pediarii na obszarze Rzeczypospolitej Polskiej"|"2012-11-06"
"329196"|"Prowadzenie cząstkowego stażu lekarzy w zakresie medycyny rodzinnej."|"2012-01-23"
"329291"|"Uprawnienia do prowadzenia specjalizacji w zakresie chirurgii ogólnej"|"2002-12-02"
"329291"|"Uprawnienia do prowadzenia specjalizacji w zakresie chorób wewnętrznych"|"2008-03-19"
"329291"|"Uprawnienia do prowadzenia specjalizacji w zakresie medycyny ratunkowej"|"2003-03-28"
"329291"|"Uprawnienia do prowadzenia specjalizacji w zakresie pediatrii"|"2004-10-28"
"329291"|"Uprawnienia do prowadzenia specjalizacji w zakresie położnictwa i ginekologii"|"2003-02-14"
"329291"|"Uprawnienia do prowadzenia stażu kierunkowego w zakresie anestezjologii i intensywnej terapii"|"2007-03-27"
"329318"|"Staż podyplomowy lekarza dentysty"|"2006-03-03"
"329361"|"Prowadzenie stażu podyplomowego lekarzy w zakresie medycyny rodzinnej"|"2011-07-14"
"329450"|"Uprawnienia do prowadzenia stażu cząstkowego w zakresie medycyny rodzinnej"|"2012-01-23"
"329477"|"Uprawnienia do prowadzenia staży cząstkowych w zakresie medycyny rodzinnej."|"2012-01-16"
"329479"|"uprawnienia do prowadzenia staży cząstkowych w zakresie medycyny rodzinnej "|"2012-01-16"
"329479"|"akredytacja prowadzenia stażu kierunkowego z zakresu medycyny rodzinnej"|"2012-06-11"
"329480"|"Uprawnienia do prowadzenia staży cząstkowych w zakresie medycyny rodzinnej."|"2012-01-16"
"329501"|"uprawnienia do prowadzenia staży kierunkowych z dziedziny periodontologii na obszarze Rzeczypospolitej Polskiej"|"2004-10-28"
"329501"|"uprawnienia do prowadzenia staży podyplomowych lekarzy dentystów w zakresie stomatologii ogólnej w tym stomatologii zachowawczej oraz periodontologii"|"2002-10-01"
