ID apteki	Nazwa	Status	Numer zezwolenia	Data wydania zezwolenia	Data cofnięcia zezwolenia	Data wygaszenia zezwolenia	Data uprawomocnienia zezwolenia	Data uprawomocnienia cofnięcia/wygaszenia zezwolenia	Data nadania rygoru natychmiastowej wykonalności dla cofnięcia zezwolenia	Sygnatura sprawy dla cofniecia/wygaszenia zezwolenia	Województwo	Powiat	Gmina	Rodzaj ulicy	Ulica	Numer Budynku	Numer Lokalu	Miejscowość	Kod pocztowy	Poczta	Simc	Terc	Ulic
1184228	ŻELAZNA 58	aktywna	WIF.WA.II.8520.4.25.2015.DB	2015-02-26			2015-03-14				MAZOWIECKIE	Warszawa	Wola (dzielnica)	ul.	Żelazna	58/62		Warszawa	00-866	Warszawa	919884	1465188	26433
1179148	ŻBIKOWSKA	aktywna	WIF.WA.II.8520.4.80.2014.WS	2014-07-18			2014-08-02				MAZOWIECKIE	pruszkowski	Pruszków (gmina miejska)	ul.	3 Maja	27		Pruszków	05-800	Pruszków	921510	1421021	
1032255	Źródło Zdrowia	aktywna	563/2009	2009-03-12			2009-03-12				pomorskie	Gdańsk	Gdańsk	ul.	Obrońców Wybrzeża	1		Gdańsk	80-398		933016	2261011	14663
1055920	ŹRÓDŁO	aktywna	FAPO-I-9211-6B/99	1999-03-10			1999-03-27				WIELKOPOLSKIE	poznański	Dopiewo (gmina wiejska)	ul.	Poznańska	74		Skórzewo	60-185	SKÓRZEWO	582870	3021052	17394
1129800	ZWYCIĘSKA	aktywna	WIIF.WR-I-4000/47/zezw./54/08	2008-09-23			2008-09-23				dolnośląskie	oleśnicki	Bierutów	ul.	Rzemieślnicza	4		Bierutów	56-420		987035	214024	19335
1119241	"ZOZ ""EPIONE"" Centrum Chirurgii Krótkoterminowej Piotrowicka"	aktywna	DNAiH.8540.49.2013	2013-09-09			2013-09-24				śląskie	Katowice	Katowice	ul.	Piotrowicka	68		Katowice	40-723		937474	2469011	16310
1136889	ZOL Zgromadzenia Sióstr Św. Elżbiety	aktywna	WIF-WR-I.8540.32.2013	2013-07-17			2013-07-17				dolnośląskie	Wrocław	Wrocław	ul.	Słowiańska	3		Dzierżoniów	58-200				
1192634	ZNAJOMA	aktywna	WIF.WA.II.8520.4.87.2015.DB	2015-08-17			2015-09-02				MAZOWIECKIE	Warszawa	Bielany (dzielnica)	ul.	Teodora Duracza	6	U1	Warszawa	01-892	Warszawa	988804	1465048	4409
1203999	ZNAJOMA	aktywna	WIF.WA.II.8520.2.35.2016.DB	2016-04-04			2016-04-20				MAZOWIECKIE	Warszawa	Mokotów (dzielnica)	ul.	Bluszczańska	69	U3	Warszawa	00-712	Warszawa	918130	1465058	1429
1058296	ZŁOTYCH KŁOSÓW	aktywna	ŚLWIF.KA-8240-216/05	2005-12-02			2005-12-02				śląskie	bielski	Bielsko-Biała		SIEWNA	2F		BIELSKO-BIAŁA	43-300				
1141190	Złoty Liść	aktywna	FARZ.420/1039/07	2007-07-13			2007-07-13				podkarpackie	przemyski	Przemyśl	ul.	Sportowa	4		Przemyśl	37-700				
1043774	ZŁOTY LEK	aktywna	WIF.PO.A-8240.0PA/4/2007	2007-06-06			2007-06-22				wielkopolskie	kościański	Kościan	ul.	SZKOLNA	59		TURWIA	64-000				
1047950	ZŁOTY LEK	aktywna	FAPO-I-9211-33A/2000	2000-08-04			2000-08-19				WIELKOPOLSKIE	poznański	Luboń (gmina miejska)	ul.	Żabikowska	16		Luboń	62-035	LUBOŃ	970974	3021011	26375
1055531	ZŁOTOWSKA	aktywna	FAPO-I-9211-29A/2000	2000-06-15			2000-06-29				wielkopolskie	Poznań	Poznań-Grunwald (delegatura)	ul.	Złotowska	21		Poznań	60-189	POZNAŃ	969416	3064029	26213
1103395	Złotoria	aktywna	WIF.T.8240/85/67/01	2001-10-02			2001-11-26				kujawsko-pomorskie	toruński	Lubicz	ul.	Toruńska	62		Złotoria	87-124		846441	415042	22902
1101257	Złotnicka	aktywna	WIF.BY.4010-329/1/Z-3/06	2006-01-26			2006-02-09				kujawsko-pomorskie	inowrocławski	Złotniki Kujawskie	ul.	Podgórna	4A		Złotniki Kujawskie	88-180		100492	407092	16742
1129028	ZŁOTNICKA	aktywna	WIIF.WR-I-8240/24/zezw./24/05	2005-04-29			2005-04-29				dolnośląskie	Wrocław	Wrocław	ul.	Złotnicka	4G		Wrocław	54-029		986290	264029	26204
1113746	ZŁOTEJ JESIENI DOROTA TUCHOLSKA-OWCZARCZYK	aktywna	WIF.WA.IV.8520.4.86.2012	2012-11-07			2012-11-21				MAZOWIECKIE	piaseczyński	Piaseczno (obszar wiejski w gminie miejsko-wiejskiej)	ul.	Złotej Jesieni	2A		Zalesie Górne	05-540	Zalesie Górne	6617	1418045	26198
1057910	ZŁOTE ŁANY	aktywna	ŚLWIF.KA-8240-147/02	2002-06-05			2002-06-05				śląskie	bielski	Bielsko-Biała		JUTRZENKI	24		BIELSKO-BIAŁA	43-300				
1055450	ZŁOTA JESIEŃ	aktywna	FAA.2489/A/91	1991-01-07			1991-01-21				WIELKOPOLSKIE	Poznań	Poznań-Nowe Miasto (delegatura)	os.	Powstań Narodowych	35		Poznań	61-215	POZNAŃ	969770	3064049	17347
1097330	ZŁOTA APTEKA CENY HURTOWE	aktywna	WIF.WA.4100/29/05	2005-04-06			2005-04-27				MAZOWIECKIE	miński	Mińsk Mazowiecki (gmina miejska)	ul.	Cicha	12	55	Mińsk Mazowiecki	05-300	Mińsk Mazowiecki	975687	1412011	2974
1186052	ZŁOTA APTEKA	aktywna	FŁ-1093/A/2015	2014-03-31			2015-04-22				ŁÓDZKIE	Łódź	Łódź-Widzew (delegatura)	al.	marsz. Józefa Piłsudskiego	31		Łódź	90-307		958453	1061069	16270
1190154	ZŁOTA APTEKA	aktywna	FŁ-1128/A/2015	2015-07-16			2015-07-30				ŁÓDZKIE	Łódź	Łódź-Bałuty (delegatura)	ul.	Aleksandrowska	38		Łódź	91-151		957666	1061029	225
1196065	ZŁOTA APTEKA	aktywna	FŁ-1165/A/2015	2015-10-08			2015-10-28				ŁÓDZKIE	Łódź	Łódź-Bałuty (delegatura)	ul.	Bolesława Limanowskiego	37		Łódź	91-309		957666	1061029	11074
1202955	ZŁOTA APTEKA	aktywna	FŁ-1203/A/2016	2016-03-09			2016-03-25				ŁÓDZKIE	Łódź	Łódź-Widzew (delegatura)	ul.	ks. Zdzisława Wujaka	2		Łódź	92-515		958453	1061069	39722
1203898	ZŁOTA APTEKA	aktywna	FŁ-1214/A/2016	2016-03-30			2016-04-15				ŁÓDZKIE	Łódź	Łódź-Śródmieście (delegatura)	ul.	Piotrkowska	192		Łódź	90-368	ŁÓDŹ	958430	1061059	16308
1048668	ZŁOTA	aktywna	30/2012	2012-05-28			2012-06-11				wielkopolskie	koniński	Kazimierz Biskupi	pl.	WOLNOŚCI	9		KAZIMIERZ BISKUPI	62-530		285860	3010032	24685
1048676	ZŁOTA	aktywna	FAKN-40/A/97	1997-08-21			1997-09-04				wielkopolskie	koniński	Golina	ul.	KOLEJOWA	32		GOLINA	62-590		949017	3010014	8828
1057929	ZŁOTA	aktywna	ŚLWIF.KA-4100-25/06/69/07-ZM	2007-04-23			2007-04-23				śląskie	bielski	Bielsko-Biała		JUTRZENKI	8		BIELSKO-BIAŁA	43-300				
1060668	ZŁOTA	aktywna	ŚLWIFKA-4100-54/2010-ZM	2010-04-08			2010-04-08				śląskie	częstochowski	Częstochowa		KILIŃSKIEGO	2	4	CZĘSTOCHOWA	42-200				
1103507	Złota	aktywna	WIF.T.4011-237/1/Z-33/07	2007-08-31			2007-09-14				kujawsko-pomorskie	golubsko-dobrzyński	Golub-Dobrzyń - miasto	ul.	Adama Mickiewicza	3		Golub - Dobrzyń	87-400				
1111297	Złota	aktywna	WIFBY-KK.8520.1.6.2013	2013-02-22			2013-03-11				kujawsko-pomorskie	lipnowski	Kikół	ul.	Złota Górka	12		Kikół	87-620		863480	408052	26190
1040265	ZIOŁOWA	aktywna	FAEL/P.S./9211/11/98	1998-12-24			1998-12-24				WARMIŃSKO-MAZURSKIE	Elbląg	Elbląg (gmina miejska)	ul.	Związku Jaszczurczego	9C		Elbląg	82-300	Elbląg	932703	2861011	26292
1020098	Zioła Polskie	aktywna	FŁ-VII-4010-527/A/06	2006-12-13			2006-12-27				łódzkie	Łódź	Łódź	ul.	Kasprzaka	14		Łódź	91-078		957666	1061029	8157
1022090	Zioła Polskie	aktywna	FŁ-VII-4010-640/A/08	2008-06-09			2008-06-23				ŁÓDZKIE	Łódź	Łódź-Górna (delegatura)	ul.	Lecznicza	4		Łódź	93-173		957985	1061039	10746
1023432	Zioła Polskie	aktywna	FŁ-VII-4010-713/A/09	2009-07-23			2009-08-06				łódzkie	Łódź		ul.	Nawrot	100		Łódź	90-040				
1118238	ZIKO APTEKA TANIE LEKI	aktywna	WIF.WA.II.8520.4.79.2013.DB	2013-08-08			2013-08-24				MAZOWIECKIE	Warszawa	Bemowo (dzielnica)	ul.	Powstańców Śląskich	126	16/17	Warszawa	01-466	Warszawa	988780	1465028	17366
1119092	ZIKO APTEKA TANIE LEKI	aktywna	WIF.WA.II.8520.4.82.2013.DB	2013-08-14			2013-08-31				MAZOWIECKIE	Warszawa	Praga-Północ (dzielnica)	ul.	Targowa	59		Warszawa	03-729	Warszawa	919298	1465088	22659
1174270	Ziko Apteka 	aktywna	DNAiH.8520.1.117.2014	2014-06-26							ŚLĄSKIE	Zabrze	Zabrze (gmina miejska)	ul.	3 Maja	32	32A	Zabrze	41-800		945380	2478011	11937
1034656	ZiKO Apteka	aktywna	FA.KR.9211-K-313-87/98/52/2005	2005-05-24			2005-05-24				małopolskie	Kraków	Kraków	ul.	Orzechowa	1		Kraków	30-437		950960	1261049	15202
1057690	ZIKO APTEKA	aktywna	SLWIF.KA.8520.1.136.2012	2012-07-30			2012-07-30				śląskie	bielski	Bielsko-Biała		11 LISTOPADA	37		BIELSKO-BIAŁA	43-300				
1058015	ZIKO APTEKA	aktywna	ŚLWIF.KA.8520.1.137.2012	2012-07-30			2012-07-30				śląskie	bielski	Bielsko-Biała	ul.	LESZCZYŃSKA	20		BIELSKO-BIAŁA	43-300				
1058395	ZIKO APTEKA	aktywna	ŚLWIF.KA.8520.1.138.2012	2012-07-30			2012-07-30				śląskie	bielski	Bielsko-Biała		WARSZAWSKA	5		BIELSKO-BIAŁA	43-300				
1059679	ZIKO APTEKA	aktywna	ŚLWIF.KA.8520.1.139.2012	2012-07-30			2012-07-30				śląskie	Chorzów	Chorzów		SOBIESKIEGO	21		CHORZÓW	41-500		938887	2463011	20427
1064232	ZIKO APTEKA	aktywna	ŚLWIF.KA.8520.1.140.2012	2012-07-30			2012-07-30				śląskie	Katowice	Katowice		PLEBISCYTOWA	39		KATOWICE	40-037		937474	2469011	16466
1069323	ZIKO APTEKA	aktywna	SLWIF.KA.8520.1.141.2012	2012-07-30			2012-07-30				śląskie	Sosnowiec	Sosnowiec		MODRZEJOWSKA	16		SOSNOWIEC	41-200		943428	2475011	13182
1071363	ZIKO APTEKA	aktywna	ŚlWIF.KA-4100-202/2010	2010-12-10			2011-01-01				śląskie	Zabrze	Zabrze		CHARLESA DE GAULLE'A	111-113	6	ZABRZE	41-800				
1078163	Ziko Apteka	aktywna	FAKR-I.8520.1.147.2011.83.2012	2012-08-08			2012-08-08				MAŁOPOLSKIE	Tarnów	Tarnów (gmina miejska)	ul.	Wałowa	2		Tarnów	33-100	Tarnów	981570	1263011	23586
1083238	ZIKO APTEKA	aktywna	WIF.WA.4100/96/06	2006-11-10			2006-11-25				MAZOWIECKIE	Warszawa	Ursynów (dzielnica)	al.	Aleja Komisji Edukacji Narodowej	105		Warszawa	02-722	Warszawa	988833	1465138	45561
1111001	Ziko Apteka	aktywna	FAKR-I.8520.1.12.2013	2013-02-14			2013-02-14				małopolskie	Kraków	Kraków	al.	Słowackiego	62		Kraków	30-004		950470	1261029	20288
1113184	Ziko Apteka	aktywna	FAKR-I.8520.1.156.2013	2012-12-17			2012-12-17				małopolskie	Kraków	Kraków	ul.	Dunajewskiego	2		Kraków	31-133		951327	1261059	4391
1120825	ZIKO APTEKA	aktywna	ŚlWIF.KA.8520.1.153.2013	2013-11-13			2013-11-28				śląskie	Bielsko-Biała	Bielsko-Biała	ul.	Mostowa	5		Bielsko-Biała	43-300		923584	2461011	13379
1124343	ZiKO APTEKA	aktywna	05/2013	2013-01-23			2013-02-06				wielkopolskie	Poznań	Poznań	ul.	ŚW. MARCIN	58	64	POZNAŃ	61-807				
1136530	ZIKO APTEKA	aktywna	WIF-WR-I.8520.1.46.2013	2013-07-18			2013-07-18				dolnośląskie	Wrocław	Wrocław	ul.	Świdnicka	48		Wrocław	50-068		986946	264059	22461
1172917	Ziko Apteka	aktywna	WIF-WR-I.8520.1.7.2014	2014-03-21							DOLNOŚLĄSKIE	Wrocław	Wrocław-Śródmieście (delegatura)	ul.	Ustronie	1-3		Wrocław			986952	264069	23430
1170000	ZIKO APTEKA	aktywna	FAKR-I.8520.1.38.2014	2014-03-28			2014-03-28				MAŁOPOLSKIE	nowotarski	Nowy Targ (gmina miejska)	ul.	Jana Kilińskiego	20		Nowy Targ	34-400		961538	1211011	8435
1170553	ZiKO APTEKA	aktywna	DNAiH.8520.1.44.2014	2014-04-15			2014-04-30				ŚLĄSKIE	Jastrzębie-Zdrój	Jastrzębie-Zdrój (gmina miejska)	ul.	11 Listopada	2		Jastrzębie-Zdrój	44-330	Jastrzębie-Zdrój	940163	2467011	11205
1170566	ZiKO APTEKA	aktywna	DNAiH.8520.1.50.2014	2014-04-15			2014-04-30				ŚLĄSKIE	Jastrzębie-Zdrój	Jastrzębie-Zdrój (gmina miejska)	ul.	Warmińska	2B	4	Jastrzębie-Zdrój	44-335	Jastrzębie-Zdrój	940163	2467011	23663
1173430	ZIKO APTEKA	aktywna	FAKR-I.8520.1.60.2014	2014-05-23			2014-05-23				MAŁOPOLSKIE	Tarnów	Tarnów (gmina miejska)	ul.	Leśna	18		Tarnów	33-100	Tarnów	981570	1263011	10898
1173449	ZIKO APTEKA	aktywna	FAKR-I.8520.1.71.2014	2014-05-23							MAŁOPOLSKIE	Tarnów	Tarnów (gmina miejska)	ul.	Polskiego Czerwonego Krzyża	26		Tarnów	33-100	Tarnów	981570	1263011	17039
1173886	ZiKO APTEKA	aktywna	DNAiH.8520.1.112.2014	2014-06-13							ŚLĄSKIE	Dąbrowa Górnicza	Dąbrowa Górnicza (gmina miejska)	ul.	Królowej Jadwigi	25a		Dąbrowa Górnicza	41-300		939473	2465011	10003
1174297	Ziko Apteka	aktywna	DNAiH.8520.1.123.2014	2014-06-30			2014-07-15				ŚLĄSKIE	Bytom	Bytom (gmina miejska)	ul.	Kolejowa	18		Bytom	41-902		938670	2462011	8828
1174521	ZIKO APTEKA	aktywna	WIF-WR-I.8520.1.27.2014	2014-06-24							DOLNOŚLĄSKIE	Wrocław	Wrocław-Krzyki (delegatura)	ul.	Krakowska	1		Wrocław	50-424		986544	264039	9796
1176217	ZiKO APTEKA	aktywna	DNAiH.8520.1.132.2014	2014-08-22			2014-09-06				ŚLĄSKIE	żywiecki	Żywiec (gmina miejska)	ul.	Zielona	3		Żywiec	34-300		927642	2417011	26081
1176439	Ziko Apteka	aktywna	DNAiH.8520.1.140.2014	2014-08-29			2014-09-11				ŚLĄSKIE	Rybnik	Rybnik (gmina miejska)	ul.	Bolesława Chrobrego	1		Rybnik	44-200		942765	2473011	1742
1176656	ZiKO APTEKA	aktywna	DNAiH.8520.1.146.2014	2014-09-02			2014-09-17				ŚLĄSKIE	Piekary Śląskie	Piekary Śląskie (gmina miejska)	os.	Andaluzja	9		Piekary Śląskie	41-940		942104	2471011	278
1176720	ZiKO APTEKA	aktywna	DNAiH.8520.1.156.2014	2014-09-08			2014-09-23				ŚLĄSKIE	Katowice	Katowice (gmina miejska)	ul.	1 Maja	108A		Katowice	40-237		937474	2469011	11926
1177424	ZIKO APTEKA	aktywna	WIFG.8520.1.18.2014.ACH	2014-09-18			2014-10-03				LUBUSKIE	Zielona Góra	Zielona Góra (gmina miejska)	ul.	Stefana Żeromskiego	23		Zielona Góra	65-066	Zielona Góra	988313	862011	
1177435	ZIKO APTEKA	aktywna	WIFG.8520.1.17.2014.ACH	2014-09-17			2014-10-03				LUBUSKIE	Zielona Góra	Zielona Góra (gmina miejska)	ul.	Stary Rynek	18		Zielona Góra	65-067	Zielona Góra	988313	862011	
1179524	ZiKO APTEKA	aktywna	DNAiH.8520.1.217.2014	2014-11-07			2014-11-22				ŚLĄSKIE	tarnogórski	Tarnowskie Góry (gmina miejska)	ul.	Poczdamska	8		Tarnowskie Góry	42-612		943813	2413041	16576
1179562	ZIKO APTEKA	aktywna	69/2014	2014-09-17			2014-10-01				WIELKOPOLSKIE	Poznań	Poznań-Wilda (delegatura)	ul.	Wierzbięcice	36	2	Poznań	61-568	POZNAŃ	970448	3064069	24161
1182406	ZIKO APTEKA	aktywna	WIFG.8520.1.1.2015.ACH	2015-01-19			2015-02-03				LUBUSKIE	nowosolski	Nowa Sól (gmina miejska)	ul.	Staszica	6	11	Nowa Sól	67-100	Nowa Sól	988520	804011	
1182440	ZiKO Apteka	aktywna	DNAiH.8520.1.280.2014	2015-01-22			2015-02-06				ŚLĄSKIE	Bielsko-Biała	Bielsko-Biała (gmina miejska)	ul.	Kolista	23	6	Bielsko-Biała	43-300		923584	2461011	8846
1182735	ZIKO APTEKA	aktywna	OWIF.8520.1.1.2015	2015-01-14			2015-01-28				OPOLSKIE	Opole	Opole (gmina miejska)	ul.	Krakowska	31	A	Opole	45-018		965016	1661011	9796
1182762	ZIKO APTEKA	aktywna	OWIF.8520.1.3.2015	2015-01-27			2015-02-10				OPOLSKIE	kędzierzyńsko-kozielski	Kędzierzyn-Koźle (gmina miejska)		Armii Krajowej	38	40	Kędzierzyn-Koźle	47-220		965424	1603011	
1182945	ZIKO APTEKA	aktywna	FAKR-I.8520.1.167.2014	2015-01-22			2015-01-22				MAŁOPOLSKIE	Kraków	Kraków-Podgórze (delegatura)	ul.	Kalwaryjska	12		Kraków	30-504		950960	1261049	7842
1184336	ZIKO APTEKA	aktywna	FAKR-I.8520.1.31.2015	2015-02-27			2015-02-27				MAŁOPOLSKIE	Kraków	Kraków-Krowodrza (delegatura)	ul.	Królewska	47		Kraków	30-040		950470	1261029	9987
1184464	ZIKO APTEKA	aktywna	DNAiH.8520.1.47.2015	2015-03-13			2015-03-28				ŚLĄSKIE	Ruda Śląska	Ruda Śląska (gmina miejska)	ul.	Zabrzańska	51		Ruda Śląska	41-700		942630	2472011	25287
1185194	Ziko Apteka	aktywna	DNAiH.8520.1.70.2015	2015-04-08							ŚLĄSKIE	Gliwice	Gliwice (gmina miejska)	ul.	Zwycięstwa	3		Gliwice	44-100		940000	2466011	26326
1186141	ZIKO APTEKA	aktywna	32/2015	2015-04-02			2015-04-16				WIELKOPOLSKIE	Poznań	Poznań-Jeżyce (delegatura)	ul.	Jana Henryka Dąbrowskiego	47		Poznań	60-842	POZNAŃ	969586	3064039	3682
1186728	ZIKO APTEKA	aktywna	41/2015	2015-04-24			2015-05-08				WIELKOPOLSKIE	Poznań	Poznań-Stare Miasto (delegatura)	pl.	Wiosny Ludów	2	24	Poznań	61-831	POZNAŃ	970224	3064059	24368
1186995	ZIKO APTEKA	aktywna	DNAiH.8520.1.85.2015	2015-05-21			2015-06-05				ŚLĄSKIE	Katowice	Katowice (gmina miejska)	ul.	3 Maja	7		Katowice	40-096		937474	2469011	11937
1187773	ZIKO APTEKA	aktywna	52/2015	2015-06-02			2015-06-16				WIELKOPOLSKIE	Poznań	Poznań-Grunwald (delegatura)	ul.	Głogowska	83		Poznań	60-739	POZNAŃ	969416	3064029	5614
1188707	ZIKO APTEKA	aktywna	FAKR-I.8520.1.78.2015	2015-06-19			2015-06-19				MAŁOPOLSKIE	Kraków	Kraków-Nowa Huta (delegatura)	os.	Centrum C	1	U2	Kraków	31-929	Kraków	950718	1261039	2621
1189007	ZIKO APTEKA	aktywna	WIF-WR-I.8520.1.36.2015	2015-07-07			2015-07-07				DOLNOŚLĄSKIE	polkowicki	Polkowice (miasto w gminie miejsko-wiejskiej)	ul.	Fryderyka Chopina	38a		Polkowice	59-100	Polkowice	954165	216044	2849
1190662	ZIKO APTEKA	aktywna	DNAiH.8520.1.132.2015	2015-07-28			2015-08-12				ŚLĄSKIE	Piekary Śląskie	Piekary Śląskie (gmina miejska)	ul.	Bytomska	71		Piekary Śląskie	41-940		942104	2471011	2528
1193147	ZIKO Apteka	aktywna	DNA.8520.1.157.2015	2015-08-31			2015-09-15				ŚLĄSKIE	Częstochowa	Częstochowa (gmina miejska)	al.	Aleja Wolności	4		Częstochowa	42-217		930868	2464011	33791
1194649	Ziko Apteka	aktywna	DNA.8520.1.165.2015	2015-09-15							ŚLĄSKIE	Bielsko-Biała	Bielsko-Biała (gmina miejska)	ul.	Norberta Barlickiego	7		Bielsko-Biała	43-300		923584	2461011	763
1195536	ZIKO APTEKA	aktywna	WIF-WR-I.8520.1.58.2015	2015-10-06							DOLNOŚLĄSKIE	Wrocław	Wrocław-Stare Miasto (delegatura)	pl.	Legionów	13a		Wrocław	50-045	Wrocław	986946	264059	
1195825	ZIKO APTEKA	aktywna	OWIF.8520.1.72.2015	2015-10-09			2015-10-24				OPOLSKIE	kędzierzyńsko-kozielski	Kędzierzyn-Koźle (gmina miejska)	ul.	Wojska Polskiego	7		Kędzierzyn-Koźle	47-220		965424	1603011	24628
1197718	ZIKO APTEKA	aktywna	DNA.8520.1.207.2015	2015-10-30			2015-11-14				ŚLĄSKIE	Dąbrowa Górnicza	Dąbrowa Górnicza (gmina miejska)	ul.	Legionów Polskich	38C		Dąbrowa Górnicza			939473	2465011	10775
1197854	ZIKO APTEKA	aktywna	WIF-WR-I.8520.1.76.2015	2015-11-06							DOLNOŚLĄSKIE	Wrocław	Wrocław-Krzyki (delegatura)	ul.	gen. Romualda Traugutta	92		Wrocław	50-420	Wrocław	986544	264039	22963
1197865	ZIKO APTEKA	aktywna	WIF-WR-I.8520.1.74.2015	2015-11-06							DOLNOŚLĄSKIE	Legnica	Legnica (gmina miejska)	ul.	Najświętszej Marii Panny	5F		Legnica	59-220	Legnica	954047	262011	13947
1198917	ZIKO APTEKA	aktywna	FAKR-I.8520.1.129.2015                                                      	2015-11-27			2015-11-27				MAŁOPOLSKIE	Kraków	Kraków-Podgórze (delegatura)	ul.	Kobierzyńska	93	10U	Kraków	30-382	Kraków	950960	1261049	8691
1199792	ZIKO APTEKA	aktywna	LU-WIF.8520.81.2015	2015-12-17			2016-01-01				LUBELSKIE	Lublin	Lublin (gmina miejska)	ul.	Krakowskie Przedmieście	70		Lublin	20-076		954700	663011	9803
1200062	ZIKO Apteka	aktywna	DNA.8520.1.262.2015	2015-12-22			2016-01-07				ŚLĄSKIE	Jaworzno	Jaworzno (gmina miejska)	ul.	Grunwaldzka	59	1	Jaworzno	43-600		940335	2468011	6260
1200348	ZIKO APTEKA	aktywna	FAKR-I.8520.1.186.2015	2015-12-30			2015-12-30				MAŁOPOLSKIE	myślenicki	Myślenice (miasto w gminie miejsko-wiejskiej)	ul.	Słoneczna	2E 	lok. 0.15	Myślenice	32-400	Myślenice	951617	1209034	20254
1201298	ZIKO APTEKA	aktywna	WIF-WR-I.8520.1.83.2015	2016-01-21			2016-01-21				DOLNOŚLĄSKIE	kamiennogórski	Kamienna Góra (gmina miejska)	ul.	Papieża Jana Pawła II	10	3A	Kamienna Góra	58-400	Kamienna Góra	936026	207011	7127
1201430	ZIKO APTEKA	aktywna	WIF-WR-I.8520.1.94.2015	2016-01-26			2016-01-26				DOLNOŚLĄSKIE	Wrocław	Wrocław-Śródmieście (delegatura)	ul.	Bolesława Drobnera	10	U2A	Wrocław	50-257	Wrocław	986952	264069	4194
1202063	ZIKO APTEKA	aktywna	DNA.8520.1.9.2016	2016-02-08			2016-02-23				ŚLĄSKIE	Gliwice	Gliwice (gmina miejska)	pl.	Piastów	10		Gliwice	44-100		940000	2466011	16056
